,model,explore,view,view_file_missing,is_orphan
158,Risk_Ops,risk_disputes,owh_dim_report_period,True,False
159,Risk_Ops,risk_disputes,owh_dim_unit_gpv_segment,True,False
160,Risk_Ops,risk_disputes,raw_cbms_dispute_records,False,False
161,Risk_Ops,risk_disputes,raw_cbms_chargebacks,False,False
162,Risk_Ops,risk_disputes,risk_sevs,False,False
163,Risk_Ops,risk_disputes,pentagon_dim_user,True,False
164,Risk_Ops,risk_disputes,pentagon_dim_foreign_exchange_rates,True,False
165,Risk_Ops,risk_disputes,disputed_payments,False,False
166,Risk_Ops,risk_disputes_new,risk_disputes,False,False
167,Risk_Ops,risk_disputes_new,risk_chargebacks,False,False
168,Risk_Ops,risk_disputes_new,pentagon_fact_payment_transactions,True,False
169,Risk_Ops,risk_disputes_new,risk_cases,False,False
170,Risk_Ops,risk_disputes_new,risk_fake_account_merchants,False,False
171,Risk_Ops,risk_disputes_new,owh_dim_report_period,True,False
172,Risk_Ops,risk_disputes_new,owh_dim_unit_gpv_segment,True,False
173,Risk_Ops,risk_disputes_new,risk_sevs,False,False
174,Risk_Ops,risk_disputes_new,raw_cbms_dispute_records,False,False
175,Risk_Ops,risk_disputes_new,raw_cbms_chargebacks,False,False
176,Risk_Ops,risk_disputes_new,pentagon_dim_user,True,False
177,Risk_Ops,risk_disputes_new,pentagon_dim_foreign_exchange_rates,True,False
178,Risk_Ops,risk_disputes_new,owh_dim_unit,True,False
179,Risk_Ops,risk_disputes_new,owh_dim_merchant,False,False
180,Risk_Ops,risk_disputes_new,temp_map_us_postal_code_to_dma,True,False
181,Risk_Ops,risk_disputes_new,ledger_pbs,False,False
182,Risk_Ops,credit_risk_cases,credit_risk_cases,False,False
183,Risk_Ops,credit_risk_cases,pentagon_dim_user,True,False
184,Risk_Ops,credit_risk_cases,pentagon_aggregate_seller_lifetime_summary,True,False
185,Risk_Ops,credit_risk_cases,pentagon_fact_payment_transactions,True,False
186,Risk_Ops,credit_risk_cases,information_requests,False,False
187,Risk_Ops,credit_risk_cases,owh_dim_unit_gpv_segment,True,False
188,Risk_Ops,credit_risk_cases,risk_cases,False,False
189,Risk_Ops,credit_risk_cases,owh_dim_report_period,True,False
190,Risk_Ops,credit_risk_cases,credit_risk_review_case_infos,False,False
191,Risk_Ops,credit_risk_cases,support_cases,True,False
192,Risk_Ops,credit_risk_cases,support_case_messages,True,False
193,Risk_Ops,credit_risk_cases,support_case_macro_labels,True,False
194,Risk_Ops,credit_risk_cases,ssp_credit_risk,False,False
195,Risk_Ops,credit_risk_cases,cbd_units,False,False
196,Risk_Ops,credit_risk_cases,regulator_comments_sellers,False,False
197,Risk_Ops,salesforce_cases,support_case_messages,True,False
198,Risk_Ops,salesforce_cases,support_cases,True,False
199,Risk_Ops,salesforce_cases,support_case_facts,True,False
200,Risk_Ops,salesforce_cases,support_case_macro_labels,True,False
201,Risk_Ops,salesforce_cases,raw_uhura_salesforce_cases,False,False
202,Risk_Ops,salesforce_cases,raw_uhura_salesforce_case_histories,False,False
203,Risk_Ops,salesforce_cases,risk_team,False,False
204,Risk_Ops,salesforce_cases,owh_dim_unit,True,False
205,Risk_Ops,cb_reporting_dates,cb_reporting_dates,False,False
206,Risk_Ops,cb_reporting_dates,dic_unauthorized,False,False
207,Risk_Ops,cb_reporting_dates,dic_not_rendered,False,False
208,Risk_Ops,cb_reporting_dates,dic_amount_differs,False,False
209,Risk_Ops,cb_reporting_dates,dic_cancelled,False,False
210,Risk_Ops,cb_reporting_dates,dic_credit_not_processed,False,False
211,Risk_Ops,cb_reporting_dates,dic_duplicate,False,False
212,Risk_Ops,cb_reporting_dates,dic_not_as_described,False,False
213,Risk_Ops,cb_reporting_dates,dic_returned,False,False
214,Risk_Ops,risk_disputes_email_messages,risk_disputes_email_messages,False,False
215,Risk_Ops,risk_disputes_email_messages,risk_disputes,False,False
216,Risk_Ops,vertica_salesforce_cases,vertica_salesforce_cases,True,False
217,Risk_Ops,vertica_salesforce_cases,support_case_csat,True,False
218,Risk_Ops,bizbank_users,bizbank_users,False,False
219,Risk_Ops,bizbank_users,pentagon_dim_user,True,False
220,Risk_Ops,bizbank_users,bizbank_analytics_balance_snapshots,False,False
221,Risk_Ops,bizbank_users,bizbank_balance_activity,False,False
222,Risk_Ops,bizbank_users,pentagon_fact_payment_transactions,True,False
223,Risk_Ops,bizbank_users,risk_chargebacks,False,False
224,Risk_Ops,bizbank_users,pentagon_dim_foreign_exchange_rates,True,False
225,Risk_Ops,bizbank_users,suspicion_cases,False,False
226,Risk_Ops,bizbank_users,raw_square_bank_accounts,False,False
227,Risk_Ops,santa_blacklist_events,santa_blacklist_events,False,False
228,Risk_Ops,santa_blacklist_events,santa_blacklist,False,False
229,Risk_Ops,santa_blacklist_events,pentagon_dim_user,True,False
230,Risk_Ops,ssp_doc_rejection,ssp_doc_rejection,False,False
231,Risk_Ops,ssp_doc_rejection,fraudops_caseload,False,False
232,Risk_Ops,ssp_doc_rejection,risk_team,False,False
233,Risk_Ops,credit_risk_limits,credit_risk_limits,False,False
234,Risk_Ops,credit_risk_limits,audit_logs,True,False
235,Risk_Ops,credit_risk_limits,pentagon_aggregate_seller_lifetime_summary,True,False
236,Risk_Ops,credit_risk_limits,aggregate_seller_daily_payment_summary,True,False
237,Risk_Ops,credit_risk_limits,pentagon_fact_payment_transactions,True,False
238,Risk_Ops,credit_risk_limits,Merchant_token_with_expiring_limit_cases,True,False
239,Risk_Ops,fraudops_resolution_time,fraudops_resolution_time,True,False
240,Risk_Ops,fraudops_resolution_time,risk_team,False,False
241,Risk_Ops,marketplace_users,pentagon_dim_user,True,False
242,Risk_Ops,marketplace_users,subsellers,True,False
